gene_name	transcript_id	se_id	SElet_id	reads_novo_ser	nb_pmt_novo
Hint1	ENSMUST00000117710	5499	285	59.639945312878	1
Bcl7a	ENSMUST00000117971	2770	1237	17.3205080756888	1
Bcl7a	ENSMUST00000117971	2770	1238	5.19615242270663	1
Ngrn	ENSMUST00000117989	3662	1391	14.0329283089125	1
Ngrn	ENSMUST00000117989	3662	1393	8.77058019307029	1
Ngrn	ENSMUST00000117989	3662	1395	13.1558702896054	1
Ngrn	ENSMUST00000117989	3662	1396	14.9099863282195	1
Ngrn	ENSMUST00000117989	3662	1397	11.4017542509914	1
Kdm2b	ENSMUST00000118027	2770	1237	17.3205080756888	0
Kdm2b	ENSMUST00000118027	2770	1238	15.5884572681199	0
Tgif1	ENSMUST00000118283	7886	800	10.285687375549	1
Tgif1	ENSMUST00000118283	7887	805	46.7531244343138	1
Tgif1	ENSMUST00000118283	7887	806	30.8570621266471	1
Tgif1	ENSMUST00000118283	7887	807	103.791936244177	1
Tgif1	ENSMUST00000118283	7888	809	57.0087712549569	1
Tgif1	ENSMUST00000118283	7884	793	7.79422863405995	1
Pex11b	ENSMUST00000118557	1629	1033	202.600402459924	1
Otx2	ENSMUST00000118578	6789	513	183.27224778251	1
Otx2	ENSMUST00000118578	6789	514	97.2464988233727	1
Dpf2	ENSMUST00000118623	8324	856	21.0493924633687	1
Dpf2	ENSMUST00000118623	8324	857	71.0416995638694	1
Fanci	ENSMUST00000118959	3652	1381	4.33012701892219	1
Otx2	ENSMUST00000119070	6789	513	108.467248687608	1
Otx2	ENSMUST00000119070	6789	514	97.2464988233727	1
Pde4d	ENSMUST00000119672	6615	496	33.7749907475931	1
Pde4d	ENSMUST00000119672	6615	498	8.66025403784439	1
Pde4d	ENSMUST00000119672	6615	499	3.46410161513775	1
Pde4d	ENSMUST00000119672	6615	502	9.52627944162882	1
Pde4d	ENSMUST00000119672	6615	504	12.9903810567666	1
Pde4d	ENSMUST00000119672	6615	506	19.0525588832576	1
Otx2	ENSMUST00000119739	6789	513	183.27224778251	1
Otx2	ENSMUST00000119739	6789	514	97.2464988233727	1
Ddr1	ENSMUST00000119825	7784	745	26.8467875173176	1
Cdkn1a	ENSMUST00000119901	7747	719	38.3375620361373	1
Cdkn1a	ENSMUST00000119901	7747	720	39.2726245248236	1
Gstt1	ENSMUST00000120177	5091	218	5.26234811584218	1
Gstt1	ENSMUST00000120177	5091	221	14.9099863282195	1
Gstt1	ENSMUST00000120177	5091	224	2.63117405792109	1
